,Unnamed: 0,tpep_pickup_datetime,tpep_dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,PULocationID,DOLocationID
0,0,2015-07-01 18:07:07,2015-07-01 18:18:05,-73.97169494628906,40.75112533569336,-73.98670959472656,40.7222785949707,156,71
1,1,2015-07-29 14:52:40,2015-07-29 14:54:13,-74.13005065917967,40.60567855834961,-74.13085174560547,40.60758972167969,-1,-1
2,2,2015-07-29 19:52:52,2015-07-29 19:59:12,-73.98340606689453,40.73516082763672,-73.98734283447266,40.722259521484375,167,71
3,3,2015-07-11 08:42:06,2015-07-11 08:53:10,-73.99946594238281,40.72686767578125,-73.97900390625,40.76535415649414,101,123
4,4,2015-07-28 17:01:26,2015-07-28 17:39:17,-73.95352172851561,40.785598754882805,-73.98397064208984,40.748268127441406,28,111
5,5,2015-07-18 03:54:27,2015-07-18 04:11:18,-73.98082733154298,40.75485610961913,-73.8788833618164,40.741729736328125,63,-1
6,6,2015-07-18 21:41:27,2015-07-18 22:08:22,-73.87071228027344,40.77363967895508,-73.9775390625,40.77384948730469,-1,83
7,7,2015-07-25 05:46:42,2015-07-25 05:52:23,-73.97647857666014,40.75175094604492,-73.98805236816406,40.734649658203125,63,25
8,8,2015-07-30 20:12:00,2015-07-30 20:20:34,-73.9891586303711,40.742095947265625,-73.98588562011719,40.72802734375,92,112
9,9,2015-07-11 22:18:05,2015-07-11 22:41:04,-73.98049926757811,40.75366973876953,-73.95166015625,40.80963134765625,63,127
10,10,2015-07-14 09:24:01,2015-07-14 09:36:20,-73.98390197753906,40.7407684326172,-74.00541687011719,40.72769165039063,92,114
11,11,2015-07-18 20:17:37,2015-07-18 20:25:52,-73.98801422119139,40.75005722045898,-73.99546813964845,40.73934173583984,48,72
12,12,2015-07-01 12:20:42,2015-07-01 12:55:54,-73.87521362304686,40.77391815185546,-73.9928207397461,40.713172912597656,-1,29
13,13,2015-07-14 17:02:05,2015-07-14 17:22:26,-73.97856903076173,40.75127410888672,-73.96792602539062,40.75991821289063,119,97
14,14,2015-07-16 19:28:21,2015-07-16 19:34:54,-73.97978973388672,40.77781295776367,-73.97366333007811,40.78948211669922,8,77
15,15,2015-07-26 21:53:51,2015-07-26 22:04:37,-73.98810577392578,40.75945663452149,-73.962646484375,40.7944564819336,121,83
16,16,2015-07-30 19:54:19,2015-07-30 20:09:28,-73.98412322998048,40.7209358215332,-74.00615692138672,40.735008239746094,71,73
17,17,2015-07-29 08:26:17,2015-07-29 08:34:11,-73.9801025390625,40.74893569946289,-73.96908569335938,40.76131057739258,119,97
18,18,2015-07-18 16:54:06,2015-07-18 17:02:52,-73.99249267578125,40.71971130371094,-73.96015167236328,40.7139892578125,50,-1
19,19,2015-07-29 22:43:23,2015-07-29 22:46:29,-73.97003936767578,40.76544189453125,-73.96255493164062,40.776611328125,128,140
20,20,2015-07-12 12:43:31,2015-07-12 12:48:06,-73.96974182128906,40.78470993041992,-73.9715118408203,40.791988372802734,83,77
21,21,2015-07-31 12:44:16,2015-07-31 12:50:44,-73.97066497802734,40.79358673095703,-73.95716094970702,40.812049865722656,47,14
22,22,2015-07-25 21:00:24,2015-07-25 21:03:54,-73.95015716552734,40.77972030639648,-73.95711517333984,40.78310012817384,4,30
