,tpep_pickup_datetime,tpep_dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
64,2015-07-13 20:19:04,2015-07-13 20:26:41,-73.96111297607422,40.694202423095696,-73.9607925415039,40.70867156982422
65,2015-07-21 00:08:01,2015-07-21 00:12:49,-73.94242095947266,40.78622817993164,-73.9424285888672,40.798954010009766
66,2015-07-12 01:26:46,2015-07-12 01:33:19,-73.95063018798828,40.826393127441406,-73.95945739746092,40.80942535400391
67,2015-07-18 09:59:28,2015-07-18 10:04:51,-73.960693359375,40.66083908081056,-73.96497344970702,40.65283584594727
68,2015-07-09 11:44:43,2015-07-09 11:50:11,-73.95375061035155,40.78786087036133,-73.95657348632812,40.78384017944336
69,2015-07-13 21:05:28,2015-07-13 21:13:52,-73.9603500366211,40.71525192260742,-73.99360656738281,40.72089767456056
70,2015-07-15 07:16:26,2015-07-15 07:31:25,-73.94483947753906,40.82383728027344,-73.95571899414062,40.78116226196289
71,2015-07-05 00:00:12,2015-07-05 00:13:45,-73.8075180053711,40.700286865234375,-73.7538833618164,40.7119026184082
72,2015-07-14 19:31:11,2015-07-14 19:40:24,-73.95466613769531,40.80553817749024,-73.98021697998048,40.78397750854492
73,2015-07-05 22:27:09,2015-07-05 22:38:06,-73.93985748291014,40.70767593383789,-73.92684936523438,40.684429168701165
74,2015-07-29 21:09:57,2015-07-29 21:18:17,-73.94544982910156,40.80792617797852,-73.96691131591797,40.80344009399414
75,2015-07-15 05:54:41,2015-07-15 05:58:31,-73.93975067138672,40.7943115234375,-73.95303344726561,40.79176330566406
76,2015-07-01 00:57:00,2015-07-01 01:07:54,-73.94452667236328,40.714656829833984,-73.92746734619139,40.68984603881836
77,2015-07-05 10:23:31,2015-07-05 10:27:10,-73.9629364013672,40.671756744384766,-73.97505187988281,40.675048828125
78,2015-07-31 23:47:26,2015-07-31 23:55:47,-73.98829650878906,40.670196533203125,-74.00968170166014,40.67557144165039
79,2015-07-16 08:12:58,2015-07-16 08:15:10,-73.946044921875,40.78953552246094,-73.93740844726561,40.801605224609375
80,2015-07-16 09:35:19,2015-07-16 09:56:09,-73.99742889404298,40.69111251831056,-73.96879577636719,40.70267105102539
81,2015-07-24 12:42:38,2015-07-24 12:57:54,-73.95436096191406,40.816043853759766,-73.94688415527342,40.784454345703125
82,2015-07-20 19:56:16,2015-07-20 20:00:46,-73.93766021728516,40.8044319152832,-73.94815826416014,40.7895736694336
83,2015-07-17 02:50:04,2015-07-17 03:15:35,-73.95877838134764,40.72228240966797,-73.95767211914062,40.66779708862305
84,2015-07-16 16:23:23,2015-07-16 16:32:32,-73.89128875732422,40.86191177368164,-73.88623046875,40.87482070922852
85,2015-07-18 17:21:14,2015-07-18 17:30:38,-73.9100112915039,40.76945495605469,-73.91297912597656,40.777931213378906
86,2015-07-20 17:37:39,2015-07-20 17:42:34,-73.94901275634764,40.680419921875,-73.94086456298828,40.67372894287109
87,2015-07-14 17:38:01,2015-07-14 17:48:19,-73.8797607421875,40.74817657470703,-73.89787292480467,40.756343841552734
88,2015-07-29 13:35:45,2015-07-29 13:38:58,-73.94183349609375,40.82281112670898,-73.93108367919923,40.82168197631836
89,2015-07-16 21:40:20,2015-07-16 22:30:07,-73.97647094726561,40.64838409423828,-73.96975708007811,40.749038696289055
90,2015-07-19 04:29:47,2015-07-19 04:33:12,-73.85975646972656,40.74603271484375,-73.85574340820312,40.74180603027344
91,2015-07-21 02:38:32,2015-07-21 02:43:05,-73.88040161132812,40.74803924560546,-73.87525177001953,40.75192260742188
92,2015-07-18 20:14:25,2015-07-18 20:30:55,-73.92591857910156,40.761375427246094,-73.91523742675781,40.75717544555664
93,2015-07-27 19:14:19,2015-07-27 19:23:03,-73.98038482666014,40.66842651367188,-73.9745101928711,40.6476936340332
94,2015-07-12 15:49:18,2015-07-12 15:54:29,-73.9498519897461,40.81178283691406,-73.96005249023438,40.80469512939453
95,2015-07-11 01:22:50,2015-07-11 01:32:18,-73.9525146484375,40.818641662597656,-73.94007110595702,40.80547332763672
96,2015-07-10 08:56:02,2015-07-10 09:01:42,-73.93214416503906,40.76496505737305,-73.9444808959961,40.747573852539055
97,2015-07-12 17:51:33,2015-07-12 18:04:12,-73.91879272460938,40.75887680053711,-73.88860321044923,40.74676132202149
98,2015-07-01 15:25:15,2015-07-01 15:30:12,-73.94400024414062,40.792510986328125,-73.93275451660156,40.795608520507805
99,2015-07-15 12:01:58,2015-07-15 12:45:28,-73.95643615722656,40.74741363525391,-74.01410675048828,40.713470458984375
100,2015-07-09 08:39:03,2015-07-09 08:43:55,-73.96345520019531,40.67692947387695,-73.97724151611328,40.6840934753418
101,2015-07-18 18:26:39,2015-07-18 18:40:16,-73.99754333496092,40.6789436340332,-74.012451171875,40.64655303955078
102,2015-07-19 21:22:11,2015-07-19 21:38:22,-73.94225311279298,40.84190368652344,-73.97226715087889,40.7889404296875
103,2015-07-27 17:38:15,2015-07-27 17:39:06,-73.9455795288086,40.75153732299805,-73.94554138183594,40.751312255859375
104,2015-07-31 00:01:00,2015-07-31 00:03:30,-73.84508514404298,40.71921157836913,-73.84362030029298,40.71062850952149
105,2015-07-12 11:51:30,2015-07-12 12:07:14,-73.87646484375,40.74849319458008,-73.83161926269531,40.76406097412109
106,2015-07-04 01:23:56,2015-07-04 01:37:36,-73.95695495605469,40.748443603515625,-73.90532684326173,40.75267791748047
107,2015-07-12 02:17:20,2015-07-12 02:23:44,-73.8449478149414,40.72213745117188,-73.82765197753906,40.7291145324707
108,2015-07-14 14:20:02,2015-07-14 14:27:21,-73.91255187988281,40.7558822631836,-73.89678192138672,40.7462158203125
109,2015-07-12 13:29:21,2015-07-12 13:41:47,-73.90340423583984,40.746089935302734,-73.90694427490233,40.729351043701165
110,2015-07-03 16:46:29,2015-07-03 17:04:22,-73.95462036132812,40.713966369628906,-73.99826049804686,40.646350860595696
111,2015-07-01 23:21:06,2015-07-01 23:30:21,-73.94520568847656,40.680206298828125,-73.9632797241211,40.69382095336913
112,2015-07-28 18:08:17,2015-07-28 18:17:02,-73.8914794921875,40.74745178222656,-73.89765167236328,40.760845184326165
113,2015-07-01 23:32:40,2015-07-01 23:59:56,-73.84479522705078,40.75821304321289,-74.00839233398438,40.7199592590332
