VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2015-08-10 14:08:03,2015-08-11 13:58:31,1,2.19,-73.9955825805664,40.74428176879882,1,N,-74.00936889648438,40.715328216552734,1,9.5,0.0,0.5,1.54,0.0,0.3,11.84
2,2015-08-22 23:11:03,2015-08-22 23:16:56,1,0.51,-74.00635528564453,40.7334213256836,1,N,-74.0059814453125,40.73995590209961,1,5.5,0.5,0.5,1.0,0.0,0.3,7.8
1,2015-08-07 23:14:24,2015-08-07 23:31:24,1,2.9,-73.98701477050781,40.7588119506836,1,N,-73.95426177978516,40.78067779541016,1,13.5,0.5,0.5,2.96,0.0,0.3,17.76
2,2015-08-26 16:07:49,2015-08-26 16:16:00,1,1.0,-73.9911117553711,40.72775650024414,1,N,-73.99695587158203,40.73704147338867,2,7.0,1.0,0.5,0.0,0.0,0.3,8.8
2,2015-08-20 18:31:37,2015-08-20 18:45:12,5,1.06,-73.98260498046875,40.76268005371094,1,N,-73.96887969970702,40.76483154296875,2,9.5,1.0,0.5,0.0,0.0,0.3,11.3
1,2015-08-21 13:23:59,2015-08-21 13:28:22,1,0.3,-73.98731231689453,40.76536178588867,1,N,-73.99069213867188,40.76116943359375,1,4.5,0.0,0.5,1.05,0.0,0.3,6.35
1,2015-08-28 11:53:49,2015-08-28 12:22:38,1,3.2,-73.96484375,40.759857177734375,1,N,-74.00416564941406,40.7432861328125,1,18.5,0.0,0.5,1.0,0.0,0.3,20.3
1,2015-08-24 12:41:38,2015-08-24 12:46:17,1,1.3,-73.96891021728516,40.75030899047852,1,N,-73.95597076416014,40.76569366455078,1,6.0,0.0,0.5,1.0,0.0,0.3,7.8
2,2015-08-08 09:43:39,2015-08-08 09:50:55,6,1.69,-74.0052719116211,40.74059295654297,1,N,-73.98806762695312,40.75077819824219,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3
1,2015-08-11 11:31:16,2015-08-11 11:40:14,1,1.3,-73.97838592529298,40.7568588256836,1,N,-73.9913558959961,40.73909378051758,1,7.5,0.0,0.5,1.7,0.0,0.3,10.0
