Dispatching_base_num,Pickup_date,locationID
B02764,2015-07-01 16:37:04,161.0
B02764,2015-07-25 13:21:09,236.0
B02764,2015-07-24 07:17:00,249.0
B02764,2015-07-20 20:09:02,141.0
B00375,2015-07-30 06:29:00,
B02682,2015-07-07 10:26:57,132.0
B00013,2015-07-28 21:42:00,
B02682,2015-07-04 21:03:37,170.0
B02617,2015-07-07 15:01:44,239.0
B01984,2015-07-29 13:00:00,
B02682,2015-07-20 04:29:28,181.0
B02598,2015-07-23 23:54:03,130.0
B02330,2015-07-06 03:06:48,
B02764,2015-07-09 21:42:41,161.0
B02682,2015-07-16 18:26:42,88.0
B02510,2015-07-19 19:33:04,148.0
B02617,2015-07-30 12:05:08,114.0
B02617,2015-07-25 16:48:24,231.0
B02765,2015-07-25 23:34:00,87.0
B00412,2015-07-11 08:30:00,
B02765,2015-07-30 11:05:03,236.0
B02682,2015-07-29 20:22:51,158.0
B02617,2015-07-25 21:31:48,68.0
B02682,2015-07-25 08:18:14,181.0
B02682,2015-07-16 23:31:41,140.0
B02682,2015-07-28 10:10:41,17.0
B01509,2015-07-03 17:01:00,
B02800,2015-07-17 07:37:00,237.0
B02598,2015-07-29 22:14:38,230.0
B02512,2015-07-16 08:50:37,253.0
B02617,2015-07-10 23:17:44,170.0
B02617,2015-07-22 10:06:44,90.0
B00446,2015-07-14 09:55:00,
B02682,2015-07-13 08:06:45,256.0
B02765,2015-07-16 19:22:33,152.0
B01899,2015-07-07 05:28:00,
B02510,2015-07-29 02:35:30,188.0
B02682,2015-07-29 11:11:07,79.0
B02800,2015-07-23 10:43:00,262.0
B02835,2015-07-01 07:46:20,236.0
B02800,2015-07-02 06:56:00,48.0
B02682,2015-07-22 18:40:38,249.0
B02835,2015-07-17 19:50:37,230.0
B01995,2015-07-02 08:56:00,56.0
B02512,2015-07-14 19:57:38,142.0
B02764,2015-07-12 04:13:01,162.0
B02800,2015-07-24 11:44:00,239.0
B02716,2015-07-22 16:30:00,
B02764,2015-07-06 00:10:16,112.0
B02765,2015-07-09 13:25:32,50.0
B02617,2015-07-28 21:19:59,125.0
B02764,2015-07-18 17:19:07,61.0
B02682,2015-07-27 09:34:15,127.0
B02617,2015-07-23 15:53:49,68.0
B02067,2015-07-23 20:11:00,
B00789,2015-07-23 20:45:00,
B00411,2015-07-27 19:30:00,
B02764,2015-07-15 19:30:51,113.0
B02764,2015-07-17 02:14:13,48.0
B02764,2015-07-20 05:31:41,164.0
B02617,2015-07-22 01:50:05,48.0
B02765,2015-07-01 18:20:54,76.0
B00248,2015-07-13 02:52:00,
B02590,2015-07-01 11:45:00,
B02682,2015-07-25 13:16:07,138.0
B00375,2015-07-10 14:00:00,
B01985,2015-07-01 16:40:00,
B02617,2015-07-26 09:41:32,116.0
B02764,2015-07-25 20:20:50,237.0
B02510,2015-07-20 17:02:57,162.0
B00375,2015-07-19 19:00:00,
B02510,2015-07-07 17:51:11,179.0
B02682,2015-07-12 08:08:21,61.0
B01339,2015-07-09 22:55:00,265.0
B01308,2015-07-08 19:49:00,
B02682,2015-07-21 21:22:19,13.0
B02835,2015-07-06 15:00:59,68.0
B02682,2015-07-04 18:07:34,132.0
B01667,2015-07-22 19:03:00,
B02682,2015-07-17 08:52:05,148.0
B02345,2015-07-01 06:00:00,
B02835,2015-07-09 23:13:18,40.0
B02835,2015-07-29 00:17:35,130.0
B02764,2015-07-25 19:01:19,101.0
B02682,2015-07-03 15:36:33,181.0
B02682,2015-07-26 18:59:29,231.0
B02682,2015-07-18 22:43:53,79.0
B02764,2015-07-20 22:34:48,170.0
