Dispatching_base_num,Pickup_date,locationID
B02764,2015-08-16 12:36:03,145.0
B02764,2015-08-22 10:42:28,189.0
B01899,2015-08-19 05:39:00,
B02765,2015-08-06 07:43:47,234.0
B02835,2015-08-01 20:54:59,256.0
B02835,2015-08-28 08:56:46,238.0
B02764,2015-08-11 10:23:41,231.0
B02800,2015-08-19 08:32:00,107.0
B02835,2015-08-30 13:34:45,90.0
B02764,2015-08-11 00:35:24,262.0
B02764,2015-08-14 03:57:35,161.0
B02682,2015-08-10 17:46:24,87.0
B02510,2015-08-16 12:46:01,263.0
B02682,2015-08-15 10:27:13,175.0
B00481,2015-08-24 10:00:00,
B02835,2015-08-03 18:38:55,52.0
B02682,2015-08-07 08:51:30,148.0
B02682,2015-08-13 07:30:39,263.0
b01195,2015-08-11 10:15:00,
B02835,2015-08-13 20:36:39,79.0
B02682,2015-08-08 20:21:30,90.0
B02510,2015-08-04 16:56:58,231.0
B00248,2015-08-15 08:13:00,
B02510,2015-08-01 20:11:18,186.0
B02510,2015-08-29 02:30:54,79.0
b00941,2015-08-26 14:20:00,
B02682,2015-08-05 02:40:39,114.0
B00248,2015-08-16 04:22:00,
B02617,2015-08-25 21:46:06,247.0
B02682,2015-08-20 11:24:52,161.0
B00281,2015-08-18 14:00:00,
B02598,2015-08-16 12:29:10,179.0
B02682,2015-08-16 10:29:53,216.0
B02765,2015-08-05 15:06:56,137.0
B02093,2015-08-02 19:13:00,
B02682,2015-08-21 17:46:20,163.0
B02835,2015-08-05 20:43:46,249.0
B02080,2015-08-29 15:29:00,
B02764,2015-08-04 20:16:52,42.0
B02835,2015-08-02 00:38:32,148.0
B02764,2015-08-24 12:57:15,33.0
B02510,2015-08-16 20:06:50,186.0
B02835,2015-08-24 08:13:53,133.0
