VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2015-07-16 12:05:57,2015-07-16 12:37:27,5,2.16,-73.98638153076173,40.77749633789063,1,N,-73.98145294189453,40.75553131103516,2,19.5,0.0,0.5,0.0,0.0,0.3,20.3
1,2015-07-11 01:57:19,2015-07-11 02:03:03,2,1.9,-73.96764373779298,40.756343841552734,1,N,-73.9856719970703,40.73149871826172,1,7.5,0.5,0.5,1.75,0.0,0.3,10.55
2,2015-07-08 22:41:30,2015-07-08 22:54:43,6,3.39,-73.98977661132812,40.7343635559082,1,N,-73.95908355712889,40.743698120117195,1,13.0,0.5,0.5,3.97,5.54,0.3,23.81
2,2015-07-03 21:27:08,2015-07-03 21:49:04,1,6.69,-74.0170669555664,40.704902648925774,1,N,-73.96250915527342,40.71994018554688,1,23.0,0.5,0.5,4.86,0.0,0.3,29.16
1,2015-07-06 10:54:44,2015-07-06 11:02:22,1,1.0,-73.98206329345702,40.75544738769531,1,N,-73.99128723144531,40.750038146972656,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3
1,2015-07-02 08:12:59,2015-07-02 08:27:52,1,1.1,-74.00401306152342,40.74788665771485,1,N,-73.98996734619139,40.75261688232422,2,10.5,0.0,0.5,0.0,0.0,0.3,11.3
2,2015-07-06 23:15:22,2015-07-06 23:33:05,6,7.78,-73.87445831298828,40.77405548095703,1,N,-73.95796966552734,40.800979614257805,1,23.5,0.5,0.5,6.07,5.54,0.3,36.41
1,2015-07-20 08:07:00,2015-07-20 08:25:48,1,8.1,-73.95417785644531,40.77054977416992,1,N,-74.01378631591797,40.71477890014648,1,25.5,0.0,0.5,5.25,0.0,0.3,31.55
1,2015-07-20 18:22:58,2015-07-20 18:34:08,1,1.3,0.0,0.0,1,N,0.0,0.0,1,8.5,1.0,0.5,2.05,0.0,0.3,12.35
1,2015-07-26 13:51:36,2015-07-26 14:11:23,2,6.2,-73.78995513916014,40.6470832824707,1,N,-73.82238006591797,40.712600708007805,1,19.5,0.0,0.5,4.05,0.0,0.3,24.35
1,2015-07-17 06:23:09,2015-07-17 06:27:24,1,0.9,-73.97319030761719,40.7827033996582,1,N,-73.96145629882812,40.77458953857422,1,5.5,0.0,0.5,0.0,0.0,0.3,6.3
1,2015-07-07 22:56:16,2015-07-07 23:24:25,1,11.4,-73.78821563720702,40.641414642333984,1,N,-73.95656585693358,40.67454528808594,1,34.0,0.5,0.5,7.05,0.0,0.3,42.35
1,2015-07-10 18:01:45,2015-07-10 18:07:55,1,1.5,-73.99416351318358,40.74658966064453,1,N,-73.98687744140625,40.731571197509766,1,7.0,1.0,0.5,1.0,0.0,0.3,9.8
1,2015-07-22 12:12:05,2015-07-22 12:28:02,1,1.8,-73.98408508300781,40.72924423217773,1,N,-73.98085021972656,40.74936676025391,1,11.5,0.0,0.5,1.2,0.0,0.3,13.5
2,2015-07-13 13:59:50,2015-07-13 14:00:37,1,0.3,-73.98629760742188,40.76702117919922,1,N,-73.98905944824217,40.763179779052734,2,3.0,0.0,0.5,0.0,0.0,0.3,3.8
2,2015-07-23 11:22:22,2015-07-23 11:41:41,1,2.75,-73.96549224853516,40.79079818725586,1,N,-73.95421600341797,40.76408004760742,1,14.5,0.0,0.5,2.0,0.0,0.3,17.3
