VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type 
1,2015-07-20 19:05:22,2015-07-20 19:12:22,N,1,-73.91173553466798,40.77526473999024,-73.91059875488281,40.76666641235352,1,0.9,6.5,1.0,0.5,2.45,0.0,,0.3,10.75,1,1.0
2,2015-07-18 23:12:12,2015-07-18 23:43:00,N,1,-74.01110076904298,40.6789436340332,-73.9686279296875,40.791553497314446,1,12.74,36.5,0.5,0.5,9.45,0.0,,0.3,47.25,1,1.0
2,2015-07-28 21:54:47,2015-07-28 22:04:08,N,1,-73.98696899414062,40.69862365722656,-73.96036529541014,40.68888092041016,5,2.01,9.0,0.5,0.5,2.06,0.0,,0.3,12.36,1,1.0
2,2015-07-28 12:55:18,2015-07-28 13:25:13,N,1,-73.9392852783203,40.84186935424805,-73.96648406982422,40.77072143554688,1,6.8,26.5,0.0,0.5,0.0,0.0,,0.3,27.3,2,1.0
2,2015-07-23 20:48:36,2015-07-23 20:56:34,N,1,-73.95553588867188,40.71993637084961,-73.94029998779298,40.710079193115234,1,1.33,7.0,0.5,0.5,1.66,0.0,,0.3,9.96,1,1.0
1,2015-07-12 05:55:12,2015-07-12 05:56:38,Y,1,-73.7845230102539,40.7065658569336,-73.78287506103516,40.702178955078125,1,0.5,3.5,0.0,0.5,5.7,0.0,,0.3,10.0,1,1.0
2,2015-07-09 16:18:21,2015-07-09 16:23:56,N,1,-73.94294738769531,40.7940673828125,-73.95875549316406,40.800899505615234,1,1.02,5.5,1.0,0.5,0.0,0.0,,0.3,7.3,1,1.0
1,2015-07-22 04:06:36,2015-07-22 04:09:38,N,1,-73.8957290649414,40.746360778808594,-73.88604736328125,40.74739456176758,1,0.5,4.0,0.5,0.5,0.0,0.0,,0.3,5.3,2,1.0
2,2015-07-09 14:07:09,2015-07-09 14:35:48,N,1,-73.9424285888672,40.84142303466797,-73.97154998779298,40.746387481689446,1,9.25,28.5,0.0,0.5,4.0,0.0,,0.3,33.3,1,1.0
1,2015-07-18 20:12:25,2015-07-18 20:18:42,N,1,-73.93921661376953,40.802040100097656,-73.95220947265625,40.81066131591797,1,1.1,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2,1.0
2,2015-07-30 19:14:30,2015-07-30 19:52:48,N,1,-73.95657348632812,40.74639129638672,-73.97901153564453,40.78426361083984,2,5.29,25.5,1.0,0.5,0.0,0.0,,0.3,27.3,1,1.0
2,2015-07-21 17:31:58,2015-07-21 17:52:59,N,1,-73.84408569335938,40.721874237060554,-73.83252716064453,40.71505355834961,1,4.11,17.5,1.0,0.5,3.0,0.0,,0.3,22.3,1,1.0
2,2015-07-29 21:35:39,2015-07-29 21:39:38,N,1,-73.95763397216798,40.7179069519043,-73.94355010986328,40.7256965637207,5,0.87,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2,1.0
2,2015-07-12 00:19:08,2015-07-12 00:27:09,N,5,-73.95143127441406,40.82498550415039,-73.93980407714844,40.819480895996094,2,0.94,7.0,0.0,0.0,0.0,0.0,,0.0,7.0,2,2.0
2,2015-07-12 12:34:25,2015-07-12 12:49:34,N,1,-73.81716918945312,40.70246887207031,-73.79827117919923,40.66720962524414,1,3.06,13.5,0.0,0.5,0.0,0.0,,0.3,14.3,2,1.0
1,2015-07-26 02:44:45,2015-07-26 02:54:07,N,1,-73.958251953125,40.72163009643555,-73.93924713134764,40.7152214050293,1,1.9,8.5,0.5,0.5,1.95,0.0,,0.3,11.75,1,1.0
2,2015-07-05 19:23:20,2015-07-05 19:26:05,N,1,-73.96394348144531,40.80820083618164,-73.96144866943358,40.80533599853516,1,0.32,4.0,0.0,0.5,0.0,0.0,,0.3,4.8,1,1.0
1,2015-07-05 22:15:04,2015-07-05 22:47:30,N,1,-73.91808319091797,40.84598922729492,-73.92222595214845,40.84074401855469,1,4.5,21.5,0.5,0.5,0.0,0.0,,0.3,22.8,2,1.0
2,2015-07-03 15:11:05,2015-07-03 15:19:55,N,1,-73.92811584472656,40.81036758422852,-73.94080352783203,40.78652572631836,1,2.21,9.5,0.0,0.5,0.0,0.0,,0.3,10.3,2,1.0
2,2015-07-16 18:37:06,2015-07-16 18:58:46,N,1,-73.83409881591797,40.757915496826165,-73.87762451171875,40.75043869018555,1,2.94,15.0,1.0,0.5,0.0,0.0,,0.3,16.8,2,1.0
1,2015-07-15 10:03:08,2015-07-15 10:26:22,N,1,-73.88604736328125,40.747371673583984,-73.80157470703125,40.702857971191406,1,6.6,22.5,0.0,0.5,0.0,0.0,,0.3,23.3,2,1.0
2,2015-07-27 01:22:38,2015-07-27 01:31:11,N,1,-73.96087646484375,40.71429061889648,-73.97142028808595,40.69575881958008,1,2.25,9.0,0.5,0.5,4.0,0.0,,0.3,14.3,1,1.0
2,2015-07-23 17:02:06,2015-07-23 17:15:57,N,1,-73.84445953369139,40.72134017944336,-73.84851837158203,40.7581787109375,1,3.61,14.5,1.0,0.5,0.0,0.0,,0.3,16.3,2,1.0
2,2015-07-05 01:36:45,2015-07-05 02:08:56,N,1,-73.96643829345702,40.646732330322266,-73.90969085693358,40.87443161010742,1,20.33,54.5,0.5,0.5,11.16,0.0,,0.3,66.96,1,1.0
